	GeneID	Symbol	Aliases	description	other_designations	Pathway	OMIM	swissprot_id	protein_length
33	164	AP1G1	ADTG, CLAPG1, USRISD	adaptor related protein complex 1 subunit gamma 1	AP-1 complex subunit gamma-1|adapter-related protein complex 1 subunit gamma-1|adaptor protein complex AP-1 subunit gamma-1|adaptor related protein complex 1 gamma 1 subunit|clathrin assembly protein complex 1 gamma large chain|clathrin assembly protein complex 1 gamma-1 large chain|clathrin-associated/assembly/adaptor protein, large, gamma 1|gamma adaptin|gamma1-adaptin|golgi adaptor HA1/AP1 adaptin gamma subunit|golgi adaptor HA1/AP1 adaptin subunit gamma-1|testicular tissue protein Li 21	RNAP	603533	O43747	822.0
34	176	ACAN	AGC1, AGCAN, CSPG1, CSPGCP, MSK16, SEDK, SSOAOD	aggrecan	aggrecan core protein|cartilage-specific proteoglycan core protein|chondroitin sulfate proteoglycan core protein 1|large aggregating proteoglycan	RNAP	155760	P16112	2530.0
35	177	AGER	RAGE, SCARJ1, sRAGE	advanced glycosylation end-product specific receptor	advanced glycosylation end product-specific receptor|receptor for advanced glycation end-products	RNAP	600214	Q15109	404.0
36	181	AGRP	AGRT, ART, ASIP2	agouti related neuropeptide	agouti-related protein|agouti related protein homolog	RNAP	602311	O00253	132.0
37	182	JAG1	AGS, AGS1, AHD, AWS, CD339, CMT2HH, DCHE, HJ1, JAGL1	jagged canonical Notch ligand 1	protein jagged-1	RNAP	601920	P78504	1218.0
38	183	AGT	ANHU, SERPINA8, hFLT1	angiotensinogen	angiotensinogen|alpha-1 antiproteinase, antitrypsin|angiotensin I|angiotensin II|fetal-liver predominant transporter 1|pre-angiotensinogen|serine (or cysteine) proteinase inhibitor|serpin A8|serpin peptidase inhibitor, clade A, member 8	RNAP	106150	P01019	485.0
39	186	AGTR2	AT2, ATGR2, MRX88	angiotensin II receptor type 2	type-2 angiotensin II receptor|AT2 receptor|angiotensin II type-2 receptor	RNAP	300034	P50052	363.0
40	187	APLNR	AGTRL1, APJ, APJR, HG11	apelin receptor	apelin receptor|APJ (apelin) receptor|APJ receptor|G protein-coupled receptor APJ|G-protein coupled receptor HG11|HG11 orphan receptor|angiotensin II receptor-like 1|angiotensin receptor-like 1	RNAP	600052	P35414	380.0
41	199	AIF1	AIF-1, IBA1, IRT-1, IRT1	allograft inflammatory factor 1	allograft inflammatory factor 1|interferon gamma responsive transcript|ionized calcium-binding adapter molecule 1|protein G1	RNAP	601833	P55008	147.0
42	207	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	RNAP	164730	P31749	480.0
43	240	ALOX5	5-LO, 5-LOX, 5LPG, LOG5	arachidonate 5-lipoxygenase	polyunsaturated fatty acid 5-lipoxygenase|LOX-5|arachidonic acid 5-lipoxygenase|leukotriene A4 synthase	RNAP	152390	P09917	674.0
44	242	ALOX12B	12R-LOX, ARCI2	arachidonate 12-lipoxygenase, 12R type	arachidonate 12-lipoxygenase, 12R-type|12R-lipoxygenase|epidermis-type lipoxygenase 12	RNAP	603741	O75342	701.0
45	247	ALOX15B	15-LOX-2	arachidonate 15-lipoxygenase type B	polyunsaturated fatty acid lipoxygenase ALOX15B|15-LOX-B|15S-lipoxygenase|arachidonate 15-lipoxygenase 2|arachidonate 15-lipoxygenase type II|arachidonate 15-lipoxygenase, second type|arachidonate omega(6) lipoxygenase|linoleate 13-lipoxygenase 15-LOb	RNAP	603697	O15296	676.0
46	249	ALPL	AP-TNAP, APTNAP, HOPS, HPPA, HPPC, HPPI, HPPO, TNALP, TNAP, TNS-ALP, TNSALP	alkaline phosphatase, biomineralization associated	alkaline phosphatase, tissue-nonspecific isozyme|alkaline phosphatase liver/bone/kidney isozyme|alkaline phosphatase, liver/bone/kidney|liver/bone/kidney-type alkaline phosphatase|phosphoamidase|phosphocreatine phosphatase|tissue non-specific alkaline phosphatase|tissue-nonspecific ALP	RNAP	171760	P05186	524.0
47	274	BIN1	AMPH2, AMPHL, CNM2, SH3P9	bridging integrator 1	myc box-dependent-interacting protein 1|amphiphysin 2|amphiphysin II|amphiphysin-like protein|box dependant MYC interacting protein 1|box-dependent myc-interacting protein 1	RNAP	601248	O00499	593.0
48	285	ANGPT2	AGPT2, ANG2, LMPHM10	angiopoietin 2	angiopoietin-2|Tie2-ligand|angiopoietin-2B|angiopoietin-2a	RNAP	601922	O15123	496.0
49	301	ANXA1	ANX1, LPC1	annexin A1	annexin A1|annexin I (lipocortin I)|annexin-1|calpactin II|calpactin-2|chromobindin-9|epididymis secretory sperm binding protein|phospholipase A2 inhibitory protein	RNAP	151690	P04083	346.0
50	302	ANXA2	ANX2, ANX2L4, CAL1H, HEL-S-270, LIP2, LPC2, LPC2D, P36, PAP-IV	annexin A2	annexin A2|annexin II|annexin-2|calpactin I heavy chain|calpactin I heavy polypeptide|calpactin-1 heavy chain|chromobindin 8|epididymis secretory protein Li 270|epididymis secretory sperm binding protein|lipocortin II|placental anticoagulant protein IV|protein I	RNAP	151740	P07355	339.0
51	306	ANXA3	ANX3	annexin A3	annexin A3|35-alpha calcimedin|Annexin III (lipocortin III)|PAP-III|annexin III (lipocortin III, 1,2-cyclic-inositol-phosphate phosphodiesterase, placental anticoagulant protein III, calcimedin 35-alpha)|annexin-3|calcimedin 35-alpha|inositol 1,2-cyclic phosphate 2-phosphohydrolase|lipocortin III|placental anticoagulant protein III	RNAP	106490	P12429	323.0
52	324	APC	BTPS2, DESMD, DP2, DP2.5, DP3, GS, PPP1R46	APC regulator of WNT signaling pathway	adenomatous polyposis coli protein|APC, WNT signaling pathway regulator|WNT signaling pathway regulator|adenomatosis polyposis coli tumor suppressor|adenomatous polyposis coli (APC)|deleted in polyposis 2.5|epididymis secretory sperm binding protein|protein phosphatase 1, regulatory subunit 46	RNAP	611731	P25054	2843.0
53	326	AIRE	AIRE1, APECED, APS1, APSI, PGA1	autoimmune regulator	autoimmune regulator|autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein	RNAP	607358	O43918	545.0
54	331	XIAP	API3, BIRC4, IAP-3, ILP1, MIHA, XLP2, hIAP-3, hIAP3	X-linked inhibitor of apoptosis	E3 ubiquitin-protein ligase XIAP|IAP-like protein 1|RING-type E3 ubiquitin transferase XIAP|X-linked IAP|X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase|baculoviral IAP repeat-containing protein 4|inhibitor of apoptosis protein 3	RNAP	300079	P98170	497.0
55	336	APOA2	Apo-AII, ApoA-II, apoAII	apolipoprotein A2	apolipoprotein A-II	RNAP	107670	P02652	100.0
56	344	APOC2	APO-CII, APOC-II	apolipoprotein C2	apolipoprotein C-II	RNAP	608083	P02655	101.0
57	348	APOE	AD2, APO-E, ApoE4, LDLCQ5, LPG	apolipoprotein E	apolipoprotein E|apolipoprotein E3	RNAP	107741	P02649	317.0
58	350	APOH	B2G1, B2GP1, BG	apolipoprotein H	beta-2-glycoprotein 1|APC inhibitor|B2GPI|activated protein C-binding protein|anticardiolipin cofactor|apo-H|apolipoprotein H (beta-2-glycoprotein I)|beta(2)GPI|epididymis secretory sperm binding protein	RNAP	138700	P02749	345.0
59	351	APP	AAA, ABETA, ABPP, AD1I, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4, APP	amyloid beta precursor protein	amyloid-beta precursor protein|alzheimer disease amyloid A4 protein homolog|alzheimer disease amyloid protein|amyloid beta (A4) precursor protein|amyloid beta A4 protein|amyloid precursor protein|beta-amyloid peptide|beta-amyloid peptide(1-40)|beta-amyloid peptide(1-42)|beta-amyloid precursor protein|cerebral vascular amyloid peptide|peptidase nexin-II|protease nexin-II|testicular tissue protein Li 2	RNAP	104760	P05067	770.0
60	358	AQP1	AQP-CHIP, CHIP28, CO	aquaporin 1 (Colton blood group)	aquaporin-1|Colton blood group antigen|aquaporin 1 (channel-forming integral protein, 28kDa, CO blood group)|aquaporin 1, Colton blood group antigen|aquaporin-CHIP|bloodgroup CO protein|channel-like integral membrane protein, 28-kDa|urine water channel|water channel protein for red blood cells and kidney proximal tubule	RNAP	107776	P29972	269.0
61	367	AR	AIS8, DHTR, HUMARA, HYSP1, KD, NR3C4, SBMA, SMAX1, TFM, AR	androgen receptor	androgen receptor|dihydrotestosterone receptor|nuclear receptor subfamily 3 group C member 4	RNAP	313700	P10275	920.0
62	387	RHOA	ARH12, ARHA, EDFAOB, RHO12, RHOH12	ras homolog family member A	transforming protein RhoA|Aplysia ras-related homolog 12|epididymis secretory sperm binding protein|oncogene RHO H12|small GTP binding protein RhoA	RNAP	165390	P61586	193.0
63	388	RHOB	ARH6, ARHB, MST081, MSTP081, RHOH6	ras homolog family member B	rho-related GTP-binding protein RhoB|Aplysia RAS-related homolog 6|h6|oncogene RHO H6|ras homolog gene family, member B|rho cDNA clone 6	RNAP	165370	P62745	196.0
64	399	RHOH	ARHH, TTF	ras homolog family member H	rho-related GTP-binding protein RhoH|GTP-binding protein TTF|TTF, translocation three four|ras homolog gene family, member H	RNAP	602037	Q15669	191.0
65	405	ARNT	ARNT1, HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2	aryl hydrocarbon receptor nuclear translocator	aryl hydrocarbon receptor nuclear translocator|class E basic helix-loop-helix protein 2|dioxin receptor, nuclear translocator|hypoxia inducible factor 1 subunit beta|hypoxia-inducible factor 1, beta subunit	RNAP	126110	P27540	789.0
66	409	ARRB2	ARB2, ARR2, BARR2	arrestin beta 2	beta-arrestin-2|arrestin 3|non-visual arrestin-3	RNAP	107941	P32121	409.0
67	429	ASCL1	ASH1, HASH1, MASH1, bHLHa46	achaete-scute family bHLH transcription factor 1	achaete-scute homolog 1|ASH-1|achaete scute protein|achaete-scute complex homolog 1|achaete-scute complex-like 1|class A basic helix-loop-helix protein 46	RNAP	100790	P50553	236.0
68	443	ASPA	ACY2, ASP	aspartoacylase	aspartoacylase|ACY-2|aminoacylase 2	RNAP	608034	P45381	313.0
69	468	ATF4	CREB-2, CREB2, TAXREB67, TXREB	activating transcription factor 4	cyclic AMP-dependent transcription factor ATF-4|DNA-binding protein TAXREB67|cAMP response element-binding protein 2|cAMP-dependent transcription factor ATF-4|cAMP-responsive element-binding protein 2|cyclic AMP-responsive element-binding protein 2|tax-responsive enhancer element B67|tax-responsive enhancer element-binding protein 67	RNAP	604064	P18848	351.0
70	476	ATP1A1	CMT2DD, HOMGSMR2	ATPase Na+/K+ transporting subunit alpha 1	sodium/potassium-transporting ATPase subunit alpha-1|ATPase, Na+/K+ transporting, alpha 1 polypeptide|Na(+)/K(+) ATPase alpha-1 subunit|Na+/K+ ATPase 1|Na, K-ATPase, alpha-A catalytic polypeptide|Na,K-ATPase alpha-1 subunit|Na,K-ATPase catalytic subunit alpha-A protein|sodium pump subunit alpha-1|sodium-potassium ATPase catalytic subunit alpha-1|sodium-potassium-ATPase, alpha 1 polypeptide	RNAP	182310	P05023	1023.0
71	477	ATP1A2	DEE98, FARIMPD, FHM2, MHP2	ATPase Na+/K+ transporting subunit alpha 2	sodium/potassium-transporting ATPase subunit alpha-2|ATPase Na+/K+ transporting alpha 2 polypeptide|Na(+)/K(+) ATPase alpha-2 subunit|Na+/K+ ATPase, alpha-A(+) catalytic polypeptide|Na+/K+ ATPase, alpha-B polypeptide|sodium pump subunit alpha-2|sodium-potassium ATPase catalytic subunit alpha-2|sodium/potassium-transporting ATPase alpha-2 chain	RNAP	182340	P50993	1020.0
72	487	ATP2A1	ATP2A, SERCA1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	sarcoplasmic/endoplasmic reticulum calcium ATPase 1|ATPase, Ca++ transporting, cardiac muscle, fast twitch 1|SR Ca(2+)-ATPase 1|calcium pump 1|endoplasmic reticulum class 1/2 Ca(2+) ATPase	RNAP	108730	O14983	1001.0
73	488	ATP2A2	ATP2B, DAR, DD, SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	sarcoplasmic/endoplasmic reticulum calcium ATPase 2|ATPase Ca++ transporting cardiac muscle slow twitch 2|ATPase, Ca++ dependent, slow-twitch, cardiac muscle-2|SR Ca(2+)-ATPase 2|calcium pump 2|cardiac Ca2+ ATPase|endoplasmic reticulum class 1/2 Ca(2+) ATPase	RNAP	108740	P16615	1042.0
74	490	ATP2B1	MRD66, PMCA1, PMCA1kb	ATPase plasma membrane Ca2+ transporting 1	plasma membrane calcium-transporting ATPase 1|ATPase, Ca++ transporting, plasma membrane 1|plasma membrane calcium pump	RNAP	108731	P20020	1220.0
75	551	AVP	ADH, ARVP-NPII, AVRP, VP, AVP	arginine vasopressin	vasopressin-neurophysin 2-copeptin|antidiuretic hormone|copeptin|neurohypophyseal|prepro-AVP-NP II|prepro-arginine-vasopressin-neurophysin II|vasopressin-neurophysin II-copeptin	RNAP	192340	P01185	164.0
76	552	AVPR1A	AVPR V1a, AVPR1, V1aR	arginine vasopressin receptor 1A	vasopressin V1a receptor|SCCL vasopressin subtype 1a receptor|V1-vascular vasopressin receptor AVPR1A|V1a vasopressin receptor|antidiuretic hormone receptor 1A|vascular/hepatic-type arginine vasopressin receptor	RNAP	600821	P37288	418.0
77	553	AVPR1B	AVPR3, V1bR, VPR3	arginine vasopressin receptor 1B	vasopressin V1b receptor|AVPR V1b|AVPR V3|V1B receptor|antidiuretic hormone receptor 1B|arginine vasopressin receptor 3|pituitary vasopressin receptor 3|vasopressin V3 receptor	RNAP	600264	P47901	424.0
78	554	AVPR2	ADHR, DI1, DIR, DIR3, NDI, NDI1, V2R	arginine vasopressin receptor 2	vasopressin V2 receptor|AVPR V2|antidiuretic hormone receptor|renal-type arginine vasopressin receptor	RNAP	300538	P30518	371.0
79	558	AXL	ARK, JTK11, Tyro7, UFO	AXL receptor tyrosine kinase	tyrosine-protein kinase receptor UFO|AXL oncogene|AXL transforming sequence/gene	RNAP	109135	P30530	894.0
80	566	AZU1	AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC, hHBP	azurocidin 1	azurocidin|cationic antimicrobial protein 37|cationic antimicrobial protein CAP37|heparin-binding protein|neutrophil azurocidin	RNAP	162815	P20160	251.0
81	567	B2M	IMD43	beta-2-microglobulin	beta-2-microglobulin|beta chain of MHC class I molecules|beta-2-microglobin	RNAP	109700	P61769	119.0
82	572	BAD	BBC2, BCL2L8	BCL2 associated agonist of cell death	bcl2-associated agonist of cell death|BCL-X/BCL-2 binding protein|BCL2-antagonist of cell death protein|BCL2-binding component 6|BCL2-binding protein|bcl-2-binding component 6|bcl-2-like protein 8|bcl-XL/Bcl-2-associated death promoter|bcl2 antagonist of cell death|bcl2-L-8	RNAP	603167	Q92934	168.0
83	575	ADGRB1	BAI1, GDAIF	adhesion G protein-coupled receptor B1	adhesion G protein-coupled receptor B1|brain-specific angiogenesis inhibitor 1	RNAP	602682	O14514	1584.0
84	577	ADGRB3	BAI3	adhesion G protein-coupled receptor B3	adhesion G protein-coupled receptor B3|brain-specific angiogenesis inhibitor 3|dJ91B17.1 (brain-specific angiogenesis inhibitor 3)	RNAP	602684	O60242	1522.0
85	583	BBS2	BBS, RP74	Bardet-Biedl syndrome 2	Bardet-Biedl syndrome 2 protein	RNAP	606151	Q9BXC9	721.0
86	585	BBS4		Bardet-Biedl syndrome 4	Bardet-Biedl syndrome 4 protein	RNAP	600374	Q96RK4	519.0
87	595	CCND1	BCL1, D11S287E, PRAD1, U21B31	cyclin D1	G1/S-specific cyclin-D1|B-cell CLL/lymphoma 1|B-cell lymphoma 1 protein|BCL-1 oncogene|PRAD1 oncogene	RNAP	168461	P24385	295.0
88	596	BCL2	Bcl-2, PPP1R50	BCL2 apoptosis regulator	apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2|protein phosphatase 1, regulatory subunit 50	RNAP	151430	P10415	239.0
89	602	BCL3	BCL4, D19S37	BCL3 transcription coactivator	B-cell lymphoma 3 protein|B cell CLL/lymphoma 3|B-cell leukemia/lymphoma 3|B-cell lymphoma 3-encoded protein|BCL-3|chronic lymphatic leukemia protein|proto-oncogene BCL3	RNAP	109560	P20749	454.0
90	604	BCL6	BCL5A, LAZ3, ZBTB27, ZNF51, BCL6	BCL6 transcription repressor	B-cell lymphoma 6 protein|B cell CLL/lymphoma 6|B-cell lymphoma 5 protein|B-cell lymphoma 6 protein transcript|BCL-5|BCL-6|cys-his2 zinc finger transcription factor|lymphoma-associated zinc finger gene on chromosome 3|protein LAZ-3|zinc finger and BTB domain-containing protein 27|zinc finger protein 51|zinc finger transcription factor BCL6S	RNAP	109565	P41182	706.0
91	605	BCL7A	BCL7, SMARCJ1	BAF chromatin remodeling complex subunit BCL7A	B-cell CLL/lymphoma 7 protein family member A|B-cell CLL/lymphoma 7A|B-cell CLL/lymphoma-7|BCL tumor suppressor 7A|BCL7A, BAF complex component	RNAP	601406	Q4VC05	210.0
92	627	BDNF	ANON2, BULN2	brain derived neurotrophic factor	brain-derived neurotrophic factor|abrineurin|neurotrophin	RNAP	113505	P23560	247.0
93	648	BMI1	FLVI2/BMI1, PCGF4, RNF51, flvi-2/bmi-1	BMI1 proto-oncogene, polycomb ring finger	polycomb complex protein BMI-1|B lymphoma Mo-MLV insertion region 1 homolog|BMI1 polycomb ring finger oncogene|BMI1 polycomb ring finger proto-oncogene|murine leukemia viral (bmi-1) oncogene homolog|polycomb group RING finger protein 4|polycomb group protein Bmi1|ring finger protein 51	RNAP	164831	P35226	326.0
94	649	BMP1	OI13, PCOLC, PCP, PCP2, TLD	bone morphogenetic protein 1	bone morphogenetic protein 1|mammalian tolloid protein|procollagen C-endopeptidase|procollagen C-proteinase 3|tolloid-like	RNAP	112264	P13497	986.0
95	650	BMP2	BDA2A, SSFSC, SSFSC1, BMP2	bone morphogenetic protein 2	bone morphogenetic protein 2|bone morphogenetic protein 2A	RNAP	112261	P12643	396.0
96	652	BMP4	BMP2B, BMP2B1, MCOPS6, OFC11, ZYME	bone morphogenetic protein 4	bone morphogenetic protein 4|bone morphogenetic protein 2B	RNAP	112262	P12644	408.0
97	654	BMP6	IO, VGR, VGR1	bone morphogenetic protein 6	bone morphogenetic protein 6|VG-1-R|VG-1-related protein|vegetal related growth factor (TGFB-related)	RNAP	112266	P22004	513.0
