	GeneID	Symbol	Aliases	description	other_designations	Pathway	OMIM	swissprot_id	protein_length
10	675	BRCA2	BRCC2, BROVCA2, FACD, FAD, FAD1, FANCD, FANCD1, GLM3, PNCA2, XRCC11	BRCA2 DNA repair associated	breast cancer type 2 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 2|DNA repair-associated BRCA2|Fanconi anemia group D1 protein|breast and ovarian cancer susceptibility gene, early onset|breast and ovarian cancer susceptibility protein 2|breast cancer 2 tumor suppressor|breast cancer 2, early onset|mutant BRCA2|mutant DNA repair-associated protein 2	DSB	600185.0	P51587	3418.0
11	902	CCNH	CAK, CycH, p34, p37	cyclin H	GG, TCR	NER		P51946	323.0
12	1022	CDK7	CAK, CAK1, CDKN7, HCAK, MO15, STK1, p39MO15	cyclin dependent kinase 7	GG, TCR	NER		P50613	346.0
13	1069	CETN2	CALT, CEN2	centrin 2	GG	NER		P41208	172.0
14	1108	CHD4	CHD-4, Mi-2b, Mi2-BETA, SIHIWES	chromodomain helicase DNA binding protein 4	chromodomain-helicase-DNA-binding protein 4|ATP-dependent helicase CHD4|Mi-2 autoantigen 218 kDa protein	DSB	603277.0	Q14839	1912.0
15	1111	CHEK1	CHK1	checkpoint kinase 1	serine/threonine-protein kinase Chk1|CHK1 checkpoint homolog|Checkpoint, S. pombe, homolog of, 1|Chk1-S|cell cycle checkpoint kinase	DSB	603078.0	O14757	476.0
16	1161	ERCC8	CKN1, CSA, UVSS2	ERCC excision repair 8 (CSA), CSA ubiquitin ligase complex subunit	TCR	NER, DSB		Q13216	396.0
17	1642	DDB1	DDBA, UV-DDB1, WHIKERS, XAP1, XPCE, XPE, XPE-BF	damage specific DNA binding protein 1	GG, TCR	NER		Q16531	1140.0
18	1643	DDB2	XPE; DDBB; UV-DDB2	damage specific DNA binding protein 2	GG	NER		Q92466	427.0
19	1653	DDX1	DBP-RB, UKVH5d	DEAD-box helicase 1	ATP-dependent RNA helicase DDX1|DEAD (Asp-Glu-Ala-Asp) box helicase 1|DEAD (Asp-Glu-Ala-Asp) box polypeptide 1|DEAD box polypeptide 1|DEAD box protein 1|DEAD box protein retinoblastoma|DEAD box-1|DEAD-box RNA helicase DDX1|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 1|DEAD/H-box helicase 1	DSB	601257.0	Q92499	740.0
20	1663	DDX11	CHL1, CHLR1, KRG2, WABS	DEAD/H-box helicase 11	ATP-dependent DNA helicase DDX11|CHL1-like helicase homolog|CHL1-related helicase gene-1|CHL1-related protein 1|DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)|DEAD/H box protein 11|KRG-2|hCHLR1|keratinocyte growth factor-regulated gene 2 protein|probable ATP-dependent DNA helicase DDX11|probable ATP-dependent RNA helicase DDX11	DSB	601150.0	Q96FC9	970.0
21	1763	DNA2	DNA2L, hDNA2	DNA replication helicase/nuclease 2	DNA replication ATP-dependent helicase/nuclease DNA2|DNA replication ATP-dependent helicase-like homolog|DNA replication helicase 2 homolog|DNA2 DNA replication helicase 2-like|DNA2-like helicase	BER	601810.0	P51530	1060.0
22	1791	DNTT	TDT	DNA nucleotidylexotransferase	DNA nucleotidylexotransferase|nucleosidetriphosphate:DNA deoxynucleotidylexotransferase|terminal addition enzyme|terminal deoxynucleotidyltransferase|terminal deoxyribonucleotidyltransferase|terminal transferase	DSB	187410.0	P04053	509.0
23	2067	ERCC1	UV20; COFS4; RAD10	ERCC excision repair 1, endonuclease non-catalytic subunit	GG, TCR	NER, DSB, CLR		P07992	297.0
24	2068	ERCC2	COFS2, EM9, TFIIH, TTD, TTD1, XPD	ERCC excision repair 2, TFIIH core complex helicase subunit	GG, TCR	NER		P18074	760.0
25	2071	ERCC3	BTF2, GTF2H, RAD25, Ssl2, TFIIH, TTD2, XPB	ERCC excision repair 3, TFIIH core complex helicase subunit	GG, TCR	NER		P19447	782.0
26	2072	ERCC4	XPF; RAD1; FANCQ; XFEPS; ERCC11	ERCC excision repair 4, endonuclease catalytic subuni	GG, TCR	NER, DSB, CLR		Q92889	916.0
27	2073	ERCC5	COFS3, ERCC5-201, ERCM2, UVDR, XPG, XPGC	ERCC excision repair 5, endonuclease (XPG)	GG, TCR	NER, BER, DSB		P28715	1186.0
28	2074	ERCC6	ARMD5, CKN2, COFS, COFS1, CSB, CSB-PGBD3, POF11, RAD26, UVSS1	ERCC excision repair 6 (CSB), chromatin remodeling factor	TCR	NER, BER, DSB		Q03468	1493.0
29	2138	EYA1	BOP, BOR, BOS1, OFC1	EYA transcriptional coactivator and phosphatase 1	eyes absent homolog 1	DSB	601653.0	Q99502	592.0
30	2140	EYA3		EYA transcriptional coactivator and phosphatase 3	eyes absent homolog 3|eyes absent 3	DSB	601655.0	Q99504	573.0
31	2175	FANCA	FA, FA-H, FA1, FAA, FACA, FAH, FANCH	FA complementation group A	Fanconi anemia group A protein|Fanconi anemia complementation group A|Fanconi anemia, complementation group H|Fanconi anemia, type 1	CLR	607139.0	O15360	1455.0
32	2176	FANCC	FA3, FAC, FACC	FA complementation group C	Fanconi anemia group C protein|Fanconi anemia complementation group C	CLR	613899.0	Q00597	558.0
33	2177	FANCD2	FA-D2, FA4, FACD, FAD, FAD2, FANCD	FA complementation group D2	Fanconi anemia group D2 protein|Fanconi anemia complementation group D2	DSB, CLR	613984.0	Q9BXW9	1451.0
34	2178	FANCE	FACE, FAE	FA complementation group E	Fanconi anemia group E protein|Fanconi anemia complementation group E	CLR	613976.0	Q9HB96	536.0
35	2187	FANCB	FA2, FAAP90, FAAP95, FAB, FACB	FA complementation group B	Fanconi anemia group B protein|Fanconi anemia complementation group B|Fanconi anemia-associated polypeptide of 95 kDa	DSB, CLR	300515.0	Q8NB91	859.0
36	2188	FANCF	FAF	FA complementation group F	Fanconi anemia group F protein|Fanconi anemia complementation group F	CLR	613897.0	Q9NPI8	374.0
37	2189	FANCG	FAG, XRCC9	FA complementation group G	Fanconi anemia group G protein|DNA repair protein XRCC9|Fanconi anemia complementation group G|X-ray repair complementing defective repair in Chinese hamster cells 9|X-ray repair, complementing defective, in Chinese hamster, 9	CLR	602956.0	O15287	622.0
38	2237	FEN1	FEN-1, MF1, RAD2	flap structure-specific endonuclease 1	flap endonuclease 1|DNase IV|maturation factor-1	BER, DSB	600393.0	P39748	380.0
39	2305	FOXM1	FKHL16A, FOXM1B, FOXM1C, HFH-11, HFH11, HNF-3, INS-1, MPHOSPH2, MPP-2, MPP2, PIG29, TRIDENT, FOXM1	forkhead box M1	forkhead box protein M1|Forkhead, drosophila, homolog-like 16|HNF-3/fork-head homolog 11|M-phase phosphoprotein 2|MPM-2 reactive phosphoprotein 2|forkhead box M1-D|forkhead-related protein FKHL16|hepatocyte nuclear factor 3 forkhead homolog 11|transcription factor Trident|winged-helix factor from INS-1 cells	DSB	602341.0	Q08050	763.0
40	2521	FUS	ALS6, ETM41, HNRNPP2, POMP75, TLS, altFUS, FUS	FUS RNA binding protein	RNA-binding protein FUS|75 kDa DNA-pairing protein|fus-like protein|fused in sarcoma|fusion gene in myxoid liposarcoma|heterogeneous nuclear ribonucleoprotein P2|oncogene FUS|oncogene TLS|translocated in liposarcoma protein	DSB	137070.0	P35637	526.0
41	2547	XRCC6	CTC75, CTCBF, G22P1, KU70, ML8, TLAA	X-ray repair cross complementing 6	X-ray repair cross-complementing protein 6|5'-dRP lyase Ku70|5'-deoxyribose-5-phosphate lyase Ku70|70 kDa subunit of Ku antigen|ATP-dependent DNA helicase 2 subunit 1|ATP-dependent DNA helicase II, 70 kDa subunit|CTC box binding factor 75 kDa subunit|DNA repair protein XRCC6|Ku autoantigen p70 subunit|Ku autoantigen, 70kDa|X-ray repair complementing defective repair in Chinese hamster cells 6|lupus Ku autoantigen protein p70|thyroid autoantigen 70kD (Ku antigen)|thyroid autoantigen 70kDa (Ku antigen)|thyroid-lupus autoantigen p70	DSB	152690.0	P12956	609.0
42	2956	MSH6	GTBP, GTMBP, HNPCC5, HSAP, LYNCH5, MMRCS3, MSH-6, p160	mutS homolog 6	DNA mismatch repair protein Msh6|G/T mismatch-binding protein|mutS protein homolog 6|mutS-alpha 160 kDa subunit|mutS-like protein 6|sperm-associated protein	MMR	600678.0	P52701	1360.0
43	2965	GTF2H1	BTF2, P62, TFB1, TFIIH	general transcription factor IIH subunit 1	GG, TCR	NER		P32780	548.0
44	2966	GTF2H2	BTF2, BTF2 p44, BTF2P44, T-BTF2P44, TFIIH, p44	general transcription factor IIH subunit 2	GG, TCR	NER		Q13888	395.0
45	2967	GTF2H3	BTF2, P34, TFB4, TFIIH	general transcription factor IIH subunit 3	GG, TCR	NER		Q13889	308.0
46	2968	GTF2H4	P52, TFB2, TFIIH	general transcription factor IIH subunit 4	GG, TCR	NER		Q92759	462.0
47	3014	H2AX	H2A.X, H2A/X, H2AFX	H2A.X variant histone	histone H2AX|H2A histone family member X|H2AX histone|histone H2A.x	DSB	601772.0	P16104	143.0
48	3146	HMGB1	HMG-1, HMG1, HMG3, SBP-1	high mobility group box 1	high mobility group protein B1|Amphoterin|Sulfoglucuronyl carbohydrate binding protein|high-mobility group (nonhistone chromosomal) protein 1	DSB, MMR	163905.0	P09429	215.0
49	3148	HMGB2	HMG2	high mobility group box 2	high mobility group protein B2|HMG-2|high mobility group protein 2|high-mobility group (nonhistone chromosomal) protein 2	DSB	163906.0	P26583	209.0
50	3297	HSF1	HSTF1	heat shock transcription factor 1	heat shock factor protein 1	DSB	140580.0	Q00613	529.0
51	3364	HUS1	hHUS1	HUS1 checkpoint clamp component	checkpoint protein HUS1|HUS1 checkpoint homolog|hus1+-like protein	DSB	603760.0	O60921	280.0
52	3978	LIG1	IMD96, LIGI, hLig1	DNA ligase 1	GG, TCR	NER, BER, MMR		P18858	919.0
53	3980	LIG3	LIG2alpha, MTDPS20, LIG3	DNA ligase 3	DNA ligase 3|ligase II, DNA, ATP-dependent|ligase III, DNA, ATP-dependent|polydeoxyribonucleotide synthase [ATP] 3	BER, DSB	600940.0	P49916	1009.0
54	3981	LIG4	LIG4S	DNA ligase 4	DNA ligase 4|DNA joinase|DNA ligase IV|DNA repair enzyme|ligase IV, DNA, ATP-dependent|polydeoxyribonucleotide synthase [ATP] 4|polynucleotide ligase|sealase	DSB	601837.0	P49917	911.0
55	4171	MCM2	BM28, CCNL1, CDCL1, D3S3194, DFNA70, MITOTIN, cdc19	minichromosome maintenance complex component 2	DNA replication licensing factor MCM2|cell devision cycle-like 1|cyclin-like 1|minichromosome maintenance deficient 2 (mitotin)|minichromosome maintenance protein 2 homolog|nuclear protein BM28	DSB	116945.0	P49736	904.0
56	4172	MCM3	HCC5, P1-MCM3, P1.h, RLFB	minichromosome maintenance complex component 3	DNA replication licensing factor MCM3|DNA polymerase alpha holoenzyme-associated protein P1|DNA replication factor MCM3|MCM3 minichromosome maintenance deficient 3|RLF subunit beta|cervical cancer proto-oncogene 5|hRlf beta subunit|minichromosome maintenance deficient 3|p102|replication licensing factor, beta subunit	DSB	602693.0	P25205	808.0
57	4173	MCM4	CDC21, CDC54, IMD54, NKCD, NKGCD, P1-CDC21, hCdc21	minichromosome maintenance complex component 4	DNA replication licensing factor MCM4|homolog of S. pombe cell devision cycle 21|minichromosome maintenance deficient 4	DSB	602638.0	P33991	863.0
58	4174	MCM5	CDC46, MGORS8, P1-CDC46	minichromosome maintenance complex component 5	DNA replication licensing factor MCM5|CDC46 homolog|MCM5 minichromosome maintenance deficient 5, cell division cycle 46|minichromosome maintenance deficient 5 (cell division cycle 46)	DSB	602696.0	P33992	734.0
59	4175	MCM6	MCG40308, Mis5, P105MCM	minichromosome maintenance complex component 6	DNA replication licensing factor MCM6|MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe)|minichromosome maintenance deficient (mis5, S. pombe) 6	DSB	601806.0	Q14566	821.0
60	4176	MCM7	CDC47, MCM2, P1.1-MCM3, P1CDC47, P85MCM, PNAS146, PPP1R104	minichromosome maintenance complex component 7	DNA replication licensing factor MCM7|CDC47 homolog|homolog of S. cerevisiae Cdc47|minichromosome maintenance deficient 7|protein phosphatase 1, regulatory subunit 104	DSB	600592.0	P33993	719.0
61	4255	MGMT		O-6-methylguanine-DNA methyltransferase	methylated-DNA--protein-cysteine methyltransferase|6-O-methylguanine-DNA methyltransferase|O-6-methylguanine-DNA-alkyltransferase|O6-methylguanine-DNA methyltransferase|methylguanine-DNA methyltransferase	DSB	156569.0	P16455	207.0
62	4292	MLH1	COCA2, FCC2, HNPCC, HNPCC2, LYNCH2, MLH-1, MMRCS1, hMLH1	mutL homolog 1	DNA mismatch repair protein Mlh1|mutL homolog 1, colon cancer, nonpolyposis type 2	DSB, MMR	120436.0	P40692	756.0
63	4331	MNAT1	CAP35, MAT1, RNF66, TFB3	MNAT1 component of CDK activating kinase	GG, TCR	NER		P51948	309.0
64	4350	MPG	AAG, ADPG, APNG, CRA36.1, MDG, Mid1, PIG11, PIG16, anpg	N-methylpurine DNA glycosylase	DNA-3-methyladenine glycosylase|3' end of the Mid1 gene, localized 68 kb upstream the humanzeta globin gene on 16p|3-alkyladenine DNA glycosylase|3-methyladenine DNA glycosidase|CRA36.1 (3-methyl-adenine DNA glycosylase)|N-methylpurine-DNA glycosylase, MPG|proliferation-inducing protein 11|proliferation-inducing protein 16	BER	156565.0	P29372	298.0
65	4361	MRE11	ATLD, HNGS1A, MRE11B, MRE11	MRE11 homolog, double strand break repair nuclease	double-strand break repair protein MRE11|AT-like disease|DNA recombination and repair protein|MRE11 double strand break repair nuclease A|MRE11 homolog 1|MRE11 homolog A, double strand break repair nuclease|MRE11 homolog, double strand break repair nuclease A|MRE11 meiotic recombination 11 homolog A|MRE11 meiotic recombination 11-like protein A|double-strand break repair protein MRE11A|endo/exonuclease Mre11|meiotic recombination 11 homolog 1|meiotic recombination 11 homolog A	DSB	600814.0	P49959	708.0
66	4436	MSH2	COCA1, FCC1, HNPCC, HNPCC1, LCFS2, LYNCH1, MMRCS2, MSH-2, hMSH2	mutS homolog 2	DNA mismatch repair protein Msh2|DNA mismatch repair protein Msh2 transcript|MutS-like 2|mutS homolog 2, colon cancer, nonpolyposis type 1	DSB, MMR	609309.0	P43246	934.0
67	4437	MSH3	DUP, FAP4, MRP1	mutS homolog 3	DNA mismatch repair protein Msh3|divergent upstream protein|epididymis secretory sperm binding protein|hMSH3|mismatch repair protein 1	MMR	600887.0	P20585	1137.0
68	4438	MSH4	ASG, POF20, SPGF2	mutS homolog 4	mutS protein homolog 4|hMSH4	MMR	602105.0	O15457	936.0
69	4439	MSH5	G7, MUTSH5, NG23, POF13, SPGF74	mutS homolog 5	mutS protein homolog 5	MMR	603382.0	O43196	834.0
70	4595	MUTYH	MYH	mutY DNA glycosylase	adenine DNA glycosylase|A/G-specific adenine DNA glycosylase|mutY homolog|mutY-like protein	BER, MMR	604933.0	Q9UIF7	546.0
71	4683	NBN	AT-V1, AT-V2, ATV, NBS, NBS1, P95	nibrin	nibrin|Nijmegen breakage syndrome 1 (nibrin)|cell cycle regulatory protein p95|p95 protein of the MRE11/RAD50 complex	DSB	602667.0	O60934	754.0
72	4796	TONSL	IKBR, NFKBIL2, SEMDSP	tonsoku like, DNA repair protein	tonsoku-like protein|I-kappa-B-related protein|NF-kappa-B inhibitor-like protein 2|ikappaBR|inhibitor of kappa B-related protein|nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 2	DSB	604546.0	Q96HA7	1378.0
73	4913	NTHL1	FAP3, NTH1, OCTS3, hNTH1	nth like DNA glycosylase 1	endonuclease III-like protein 1|DNA glycoslyase/AP lyase|DNA glycosylase/AP lyase|bifunctional DNA N-glycoslyase/DNA-(apurinic or apyrimidinic site) lyase|bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase|nth endonuclease III-like 1	BER	602656.0	P78549	312.0
74	4968	OGG1	HMMH, HOGG1, MUTM, OGH1	8-oxoguanine DNA glycosylase	N-glycosylase/DNA lyase|8-hydroxyguanine DNA glycosylase|AP lyase|DNA-apurinic or apyrimidinic site lyase|OGG1 type 1f	BER, DSB	601982.0	O15527	345.0
75	5111	PCNA	ATLD2	proliferating cell nuclear antigen	proliferating cell nuclear antigen|DNA polymerase delta auxiliary protein|cyclin	BER, MMR	176740.0	P12004	261.0
76	5371	PML	MYL, PP8675, RNF71, TRIM19	PML nuclear body scaffold	protein PML|E3 SUMO-protein ligase PML|PML/RARA fusion|RING finger protein 71|RING-type E3 SUMO transferase PML|probable transcription factor PML|promyelocytic leukemia protein|promyelocytic leukemia, inducer of|tripartite motif protein TRIM19|tripartite motif-containing protein 19	DSB	102578.0	P29590	882.0
77	5378	PMS1	HNPCC3, MLH2, PMSL1, hPMS1	PMS1 homolog 1, mismatch repair system component	PMS1 protein homolog 1|DNA mismatch repair protein PMS1|PMS1 postmeiotic segregation increased 1|human homolog of yeast mutL|mismatch repair gene PMSL1|rhabdomyosarcoma antigen MU-RMS-40.10B|rhabdomyosarcoma antigen MU-RMS-40.10E	MMR	600258.0	P54277	932.0
78	5395	PMS2	HNPCC4, LYNCH4, MLH4, MMRCS4, PMS-2CL, PMSL2, PMS2	PMS1 homolog 2, mismatch repair system component	mismatch repair endonuclease PMS2|DNA mismatch repair protein PMS2|PMS1 homolog 2, mismatch repair protein|PMS1 protein homolog 2|PMS2 postmeiotic segregation increased 2	MMR	600259.0	P54278	862.0
79	5422	POLA1	NSX, PDR, POLA, VEODS, p180	DNA polymerase alpha 1, catalytic subunit	DNA polymerase alpha catalytic subunit|DNA polymerase alpha catalytic subunit p180|polymerase (DNA directed), alpha 1, catalytic subunit|polymerase (DNA) alpha 1, catalytic subunit|polymerase (DNA-directed), alpha (70kD)	DSB	312040.0	P09884	1462.0
80	5423	POLB		DNA polymerase beta	DNA polymerase beta|DNA pol beta|DNA polymerase beta subunit|polymerase (DNA directed), beta|polymerase (DNA) beta	BER, DSB	174760.0	P06746	335.0
81	5424	POLD1	CDC2, CRCS10, MDPL, POLD, pol?	DNA polymerase delta 1, catalytic subunit	GG, TCR	NER, BER		P28340	1107.0
82	5426	POLE	CRCS12, FILS, IMAGEI1, POLE	DNA polymerase epsilon, catalytic subunit	GG, TCR	NER, BER		Q07864	2286.0
83	5428	POLG	MDP1, MIRAS, MTDPS4A, MTDPS4B, PEO1, POLGA, SANDO, SCAE, POLG	DNA polymerase gamma, catalytic subunit	DNA polymerase subunit gamma-1|PolG-alpha|mitochondrial DNA polymerase catalytic subunit|mitochondrial polymerase gamma catalytic subunit|polymerase (DNA directed), gamma|polymerase (DNA) gamma, catalytic subunit	BER	174763.0	P54098	1239.0
84	5430	POLR2A	NEDHIB, POLR2, POLRA, RPB1, RPBh1, RPO2, RPOL2, RpIILS, hRPB220, hsRPB1	RNA polymerase II subunit A	TCR	NER		P24928	1970.0
85	5431	POLR2B	POL2RB, RPB2, hRPB140	RNA polymerase II subunit B	TCR	NER		P30876	1174.0
86	5432	POLR2C	RPB3, RPB31, hRPB33, hsRPB3	RNA polymerase II subunit C	TCR	NER		P19387	275.0
87	5433	POLR2D	HSRBP4, HSRPB4, RBP4, RPB16, RPB4	RNA polymerase II subunit D	TCR	NER		O15514	142.0
88	5434	POLR2E	RPABC1, RPB5, XAP4, hRPB25, hsRPB5	RNA polymerase II, I and III subunit E	TCR	NER		P19388	210.0
89	5435	POLR2F	HRBP14.4, POLRF, RPABC14.4, RPABC2, RPB14.4, RPB6, RPC15	RNA polymerase II, I and III subunit F	TCR	NER		P61218	127.0
90	5436	POLR2G	RPB19, RPB7, hRPB19, hsRPB7	RNA polymerase II subunit G	TCR	NER		P62487	172.0
91	5437	POLR2H	RPABC3, RPB17, RPB8	RNA polymerase II, I and III subunit H	TCR	NER		P52434	150.0
92	5438	POLR2I	RPB9, hRPB14.5	RNA polymerase II subunit I	TCR	NER		P36954	125.0
93	5439	POLR2J	POLR2J1, RPB11, RPB11A, RPB11m, hRPB14	RNA polymerase II subunit J	TCR	NER		P52435	117.0
94	5440	POLR2K	ABC10-alpha, RPABC4, RPB10alpha, RPB12, RPB7.0, hRPB7.0, hsRPB10a	RNA polymerase II, I and III subunit K	TCR	NER		P53803	58.0
95	5441	POLR2L	RBP10, RPABC5, RPB10, RPB10beta, RPB7.6, hRPB7.6	RNA polymerase II, I and III subunit L	TCR	NER		P62875	67.0
96	5531	PPP4C	PP-X, PP4, PP4C, PPH3, PPP4, PPX	protein phosphatase 4 catalytic subunit	serine/threonine-protein phosphatase 4 catalytic subunit|epididymis secretory sperm binding protein|protein phosphatase 4 (formerly X), catalytic subunit|protein phosphatase X, catalytic subunit	DSB	602035.0	P60510	307.0
97	5536	PPP5C	PP5, PPP5, PPT	protein phosphatase 5 catalytic subunit	serine/threonine-protein phosphatase 5|PP-T|protein phosphatase T	DSB	600658.0	P53041	499.0
98	5582	PRKCG	PKC-gamma, PKCC, PKCG, PKCI(3), PKCgamma, SCA14	protein kinase C gamma	protein kinase C gamma type	MMR	176980.0	P05129	697.0
99	5591	PRKDC	DNA-PKC, DNA-PKcs, DNAPK, DNAPKc, DNPK1, HYRC, HYRC1, IMD26, XRCC7, p350	protein kinase, DNA-activated, catalytic subunit	DNA-dependent protein kinase catalytic subunit|DNA-PK catalytic subunit|hyper-radiosensitivity of murine scid mutation, complementing 1|p460|protein kinase, DNA-activated, catalytic polypeptide	DSB	600899.0	P78527	4128.0
100	5885	RAD21	CDLS4, HR21, HRAD21, MCD1, MGS, NXP1, SCC1, hHR21	RAD21 cohesin complex component	double-strand-break repair protein rad21 homolog|NXP-1|RAD21 homolog|SCC1 homolog|kleisin|nuclear matrix protein 1|protein involved in DNA double-strand break repair|sister chromatid cohesion 1	DSB	606462.0	O60216	631.0
101	5886	RAD23A	HHR23A, HR23A	RAD23 homolog A, nucleotide excision repair protein	GG	NER		P54725	363.0
102	5887	RAD23B	HHR23B, HR23B, P58	RAD23 homolog B, nucleotide excision repair protein	GG	NER		P54727	409.0
103	5888	RAD51	BRCC5, FANCR, HRAD51, HsRad51, HsT16930, MRMV2A, RECA, RAD51	RAD51 recombinase	DNA repair protein RAD51 homolog 1|BRCA1/BRCA2-containing complex, subunit 5|RAD51 homolog A|RecA, E. coli, homolog of|RecA-like protein|recombination protein A	DSB, CLR	179617.0	Q06609	339.0
104	5889	RAD51C	BROVCA3, FANCO, R51H3, RAD51L2	RAD51 paralog C	DNA repair protein RAD51 homolog 3|RAD51-like protein 2|yeast RAD51 homolog 3	DSB	602774.0	O43502	376.0
105	5890	RAD51B	R51H2, RAD51L1, REC2	RAD51 paralog B	DNA repair protein RAD51 homolog 2|RAD51 homolog B|RecA-like protein|recombination repair protein	DSB	602948.0	O15315	384.0
106	5892	RAD51D	BROVCA4, R51H3, RAD51L3, TRAD	RAD51 paralog D	DNA repair protein RAD51 homolog 4|RAD51 homolog D|RAD51-like protein 3|recombination repair protein	DSB, CLR	602954.0	O75771	328.0
107	5893	RAD52		RAD52 homolog, DNA repair protein	DNA repair protein RAD52 homolog|recombination protein RAD52|rhabdomyosarcoma antigen MU-RMS-40.23	DSB	600392.0	P43351	418.0
108	5932	RBBP8	COM1, CTIP, JAWAD, JWDS, RIM, SAE2, SCKL2	RB binding protein 8, endonuclease	DNA endonuclease RBBP8|CTBP-interacting protein|RBBP-8|retinoblastoma binding protein 8|sporulation in the absence of SPO11 protein 2 homolog	DSB	604124.0	Q99708	897.0
